,Event_Id,Investigation_Type,Accident_Number,Event_Date,Location,Country,Airport_Code,Airport_Name,Injury_Severity,Aircraft_Damage,Registration_Number,Make,Model,Amateur_Built,Number_Of_Engines,Engine_Type,Purpose_Of_Flight,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_Phase_Of_Flight,Report_Status,Publication_Date,Total_Passengers,Fatal_Injuries_Rate,Uninjured_Rate,City,State,Region
5938,20001214X44195,Accident,LAX83FA395,1983-08-20,"SHAVER LAKE, CA",United States,,,Fatal(2),Destroyed,N190CH,Boeing,BV-107-II,No,2.0,Turbo Shaft,Unknown,2.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,,2.0,1.0,0.0,Shaver Lake,CA,west
6178,20001214X44459,Incident,CHI83IA418,1983-09-07,"CHICAGO, IL",United States,ORD,O'HARE,Incident,Minor,N1984,Boeing,727-200,No,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,116.0,VMC,Approach,Probable Cause,,116.0,0.0,1.0,Chicago,IL,midwest
6183,20001214X44475,Accident,CHI83LA421,1983-09-07,"GALESBURG, IL",United States,GBG,GALESBURG,Non-Fatal,Substantial,N62438,Boeing,B75N1,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,,2.0,0.0,1.0,Galesburg,IL,midwest
6184,20001214X44474,Accident,CHI83LA420,1983-09-07,"GALESBURG, IL",United States,GBG,GALESBURG MUNICIPAL,Non-Fatal,Substantial,N620BD,Boeing,PT-13D,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,,2.0,0.0,1.0,Galesburg,IL,midwest
6226,20001214X44476,Accident,CHI83LA422,1983-09-10,"GALESBURG, IL",United States,GBG,GALESBURG,Non-Fatal,Substantial,N49684,Boeing,A75N1,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,,2.0,0.0,1.0,Galesburg,IL,midwest
6283,20001214X44636,Accident,MIA83LA243,1983-09-16,"ST. AUGUSTINE, FL",United States,SGJ,ST. AUGUSTINE,Non-Fatal,Substantial,N66524,Boeing,A75N1,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Maneuvering,Probable Cause,,2.0,0.0,1.0,St. Augustine,FL,south
6363,20001214X44527,Incident,FTW83IA438,1983-09-23,"DALLAS/FT WORTH, TX",United States,D/FW,DALLAS/FT WORTH,Incident,,N897AA,Boeing,727-223B,No,3.0,Turbo Fan,Unknown,0.0,0.0,2.0,110.0,VMC,Standing,Probable Cause,,112.0,0.0,0.9821428571428571,Dallas/Ft Worth,TX,south
6477,20001214X44830,Incident,FTW84IA007,1983-10-05,"DFW AIRPORT, TX",United States,DFW,DFW,Incident,Minor,N1972,Boeing,B727-023,No,3.0,Turbo Jet,Unknown,0.0,0.0,6.0,66.0,VMC,Taxi,Probable Cause,,72.0,0.0,0.9166666666666666,Dfw Airport,TX,south
6494,20001214X44712,Incident,ANC84IA002,1983-10-07,"JUNEAU, AK",United States,,,Incident,Minor,N2808W,Boeing,727-247,No,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,87.0,IMC,Takeoff,Probable Cause,,87.0,0.0,1.0,Juneau,AK,west
6566,20001214X44870,Incident,LAX84IA014B,1983-10-15,"WOODLAND, CA",United States,203,YOLO COUNTY,Incident,Minor,N747JR,Boeing,A75N1,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,6.0,VMC,Landing,Probable Cause,,6.0,0.0,1.0,Woodland,CA,west
6598,20001214X44807,Incident,DEN84IA007,1983-10-18,"PUEBLO, CO",United States,,,Incident,,N70634,Boeing,727-222,No,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,7.0,VMC,Climb,Probable Cause,,7.0,0.0,1.0,Pueblo,CO,west
6602,20001214X44906,Incident,MIA84IA012,1983-10-19,"MIAMI, FL",United States,MIA,MIAMI INT'L.,Incident,Minor,N357PA,Boeing,727-21,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,73.0,VMC,Landing,Probable Cause,,73.0,0.0,1.0,Miami,FL,south
6628,20001214X44960,Accident,SEA84FA011,1983-10-23,"BREWSTER, WA",United States,,,Non-Fatal,Destroyed,N49385,Boeing,A75N1,No,1.0,Reciprocating,Aerial Application,0.0,1.0,0.0,0.0,VMC,Maneuvering,Probable Cause,,1.0,0.0,0.0,Brewster,WA,west
6676,20001214X44727,Accident,ATL84FA031,1983-10-28,"BLOUNTVILLE, TN",United States,TRI,TRI-CITY,Non-Fatal,Substantial,N764,Embraer,EMB110-P1,No,2.0,Turbo Prop,Unknown,0.0,0.0,16.0,0.0,VMC,Approach,Probable Cause,,16.0,0.0,0.0,Blountville,TN,south
6706,20001214X45107,Incident,LAX84IA040,1983-11-02,"SAN FRANCISCO, CA",United States,SFO,SAN FRANCISCO INT'L,Incident,Minor,N605TW,Boeing,767,No,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,104.0,VMC,Taxi,Probable Cause,,104.0,0.0,1.0,San Francisco,CA,west
6737,20001214X45143,Incident,MIA84IA025,1983-11-06,"MIAMI, FL",United States,MIA,MIAMI INT'L,Incident,Minor,N203EA,Airbus,A-300B4-2C,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,250.0,VMC,Takeoff,Probable Cause,,250.0,0.0,1.0,Miami,FL,south
6773,20001214X45157,Incident,MKC84IA018,1983-11-10,"ST. LOUIS, MO",United States,STL,LAMBERT FIELD,Incident,,N436EX,Boeing,727-15C,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,3.0,IMC,Taxi,Probable Cause,,3.0,0.0,1.0,St. Louis,MO,midwest
6789,20001214X45026,Accident,DCA84AA006,1983-11-11,"MIAMI, FL",United States,MIA,MIAMI INTL,Non-Fatal,Substantial,N812EA,Boeing,727-225A,No,2.0,Turbo Fan,Unknown,0.0,1.0,0.0,158.0,VMC,Climb,Probable Cause,,159.0,0.0,0.9937106918238994,Miami,FL,south
6906,20001214X45014,Incident,CHI84IA052B,1983-11-26,"COLUMBUS, OH",United States,CMH,COLUMBUS,Incident,Minor,N480DA,Boeing,727-232,No,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,127.0,VMC,Landing,Probable Cause,,127.0,0.0,1.0,Columbus,OH,midwest
6999,20001214X45266,Incident,DEN84IA041,1983-12-09,"DENVER, CO",United States,DEN,STAPLETON INT'L,Incident,,N613UA,Boeing,767,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,13.0,VMC,Takeoff,Probable Cause,,13.0,0.0,1.0,Denver,CO,west
7065,20001214X45209,Accident,ANC84FA026,1983-12-19,"ANCHORAGE, AK",United States,ANC,ANCHORAGE INTL,Non-Fatal,Substantial,J8151,Boeing,747-200F,No,4.0,Turbo Fan,Unknown,0.0,1.0,0.0,3.0,IMC,Landing,Probable Cause,,4.0,0.0,0.75,Anchorage,AK,west
7099,20001214X45346,Accident,LAX84LA122,1983-12-25,"PHOENIX, AZ",United States,PHX,PHOENIX SKY,Non-Fatal,,N133AW,Boeing,737-200,No,2.0,Turbo Fan,Unknown,0.0,1.0,0.0,5.0,VMC,Standing,Probable Cause,,6.0,0.0,0.8333333333333334,Phoenix,AZ,west
7123,20001214X45309,Accident,LAX84AA132,1983-12-28,"NEW YORK, NY",United States,LGA,LA GUARDIA,Non-Fatal,Substantial,N79750,Boeing,727-224,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,127.0,IMC,Approach,Probable Cause,,127.0,0.0,1.0,New York,NY,northeast
7126,20001214X45366,Accident,MIA84LA052,1983-12-29,"NEAR TAMPA, FL",United States,,,Non-Fatal,,N811N,Boeing,737-201,No,2.0,Turbo Fan,Unknown,0.0,1.0,7.0,38.0,VMC,Cruise,Probable Cause,,46.0,0.0,0.8260869565217391,Near Tampa,FL,south
7127,20001214X45324,Incident,LAX84IA119,1983-12-29,"OAKLAND, CA",United States,OAK,METROPOLITAN OAKLAND INT',Incident,Minor,N2773,Boeing,707-123B,No,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,165.0,VMC,Landing,Probable Cause,,165.0,0.0,1.0,Oakland,CA,west
7183,20001214X38672,Incident,SEA84IA033,1984-01-05,"SEATTLE, WA",United States,SEA,SEATTLE-TACOMA,Incident,Minor,N766AS,Boeing,B-727-90C,No,3.0,Turbo Jet,Positioning,0.0,0.0,0.0,6.0,IMC,Approach,Probable Cause,,6.0,0.0,1.0,Seattle,WA,west
7194,20001214X38673,Incident,SEA84IA037,1984-01-07,"SEATTLE, WA",United States,SEA,SEA-TAC INT'L ARPT,Incident,Minor,N876AA,Boeing,727-223,No,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,81.0,IMC,Landing,Probable Cause,,81.0,0.0,1.0,Seattle,WA,west
7259,20001214X38659,Incident,NYC84IA071,1984-01-18,"JAMAICA, NY",United States,JFK,JOHN F. KENNEDY INT'L,Incident,,DABYO,Boeing,747-230,No,4.0,Turbo Fan,Unknown,0.0,1.0,3.0,3.0,IMC,Takeoff,Probable Cause,,7.0,0.0,0.42857142857142855,Jamaica,NY,northeast
7270,20001214X38627,Incident,MIA84IA063,1984-01-20,"TAMPA, FL",United States,,,Incident,Minor,N8852E,Boeing,727-225A,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,152.0,VMC,Cruise,Probable Cause,,152.0,0.0,1.0,Tampa,FL,south
7533,20001214X38690,Accident,ANC84MA037,1984-02-22,"CORDOVA, AK",United States,CDV,CORDOVA MILE 13,Non-Fatal,Substantial,N103VA,Embraer,EM-110P1,No,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,9.0,IMC,Landing,Probable Cause,,9.0,0.0,1.0,Cordova,AK,west
7612,20001214X39020,Accident,FTW84FA153,1984-03-04,"LAMPASAS, TX",United States,,,Non-Fatal,Minor,N471BN,Boeing,727-200,No,3.0,Turbo Jet,Unknown,0.0,1.0,3.0,44.0,VMC,Cruise,Probable Cause,,48.0,0.0,0.9166666666666666,Lampasas,TX,south
7648,20001214X38976,Incident,CHI84IA127,1984-03-08,"ERLANGER, KY",United States,CVG,GREATER CINCINNATI INTL,Incident,,N794N,Boeing,737-200,No,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,22.0,IMC,Landing,Probable Cause,,22.0,0.0,1.0,Erlanger,KY,south
7667,20001214X39026,Incident,FTW84IA160,1984-03-10,"DFW AIRPORT, TX",United States,,,Incident,Minor,N1993,Boeing,727-23,No,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,41.0,VMC,Cruise,Probable Cause,,41.0,0.0,1.0,Dfw Airport,TX,south
7758,20001214X39124,Incident,MKC84IA108,1984-03-20,"KANSAS CITY, MO",United States,MCI,INTERNATIONAL,Incident,Minor,N88706,Boeing,727-224,No,3.0,Turbo Jet,Unknown,0.0,0.0,1.0,77.0,VMC,Taxi,Probable Cause,,78.0,0.0,0.9871794871794872,Kansas City,MO,midwest
7771,20001214X39009,Incident,DEN84IA116,1984-03-22,"DENVER, CO",United States,DEN,STAPLETON,Incident,,N88709,Boeing,727-224,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,133.0,VMC,Landing,Probable Cause,,133.0,0.0,1.0,Denver,CO,west
7942,20001214X39311,Accident,LAX84LA254,1984-04-13,"SCAGGS ISLAND, CA",United States,,,Non-Fatal,Substantial,N3387,Boeing,A75N1,No,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,Maneuvering,Probable Cause,,2.0,0.0,0.0,Scaggs Island,CA,west
8105,20001214X39675,Accident,MIA84LA158,1984-05-01,"DAYTONA BEACH, FL",United States,,,Non-Fatal,Substantial,N65676,Boeing,A75L300,No,1.0,Reciprocating,Other Work Use,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,,1.0,0.0,1.0,Daytona Beach,FL,south
8124,20001214X39673,Incident,MIA84IA160,1984-05-04,"MIAMI, FL",United States,,,Incident,Minor,N132EM,Embraer,EMB-110P1,No,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,2.0,VMC,Descent,Probable Cause,,2.0,0.0,1.0,Miami,FL,south
8207,20001214X39537,Incident,DCA84IA026,1984-05-11,"LOS ANGELES, CA",United States,LAX,LOS ANGELES INTL,Incident,Minor,FBPVS,Boeing,747,No,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,1.0,UNK,Takeoff,Probable Cause,,1.0,0.0,1.0,Los Angeles,CA,west
8265,20001214X39459,Accident,ATL84FA173,1984-05-17,"COVINGTON, KY",United States,CVG,GREATER CINCINNATI INT'L,Non-Fatal,,N723RW,Boeing,727,No,3.0,Turbo Fan,Unknown,0.0,1.0,12.0,125.0,VMC,Cruise,Probable Cause,03-02-1988,138.0,0.0,0.9057971014492754,Covington,KY,south
8372,20001214X39553,Incident,DEN84IA163,1984-05-26,"SALT LAKE CITY, UT",United States,SLC,SALT LAKE CITY INTN'L,Incident,,N8830E,Boeing,727-200,No,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,27.0,VMC,Landing,Probable Cause,,27.0,0.0,1.0,Salt Lake City,UT,west
8447,20001214X39536,Accident,DCA84AA025,1984-05-31,"DENVER, CO",United States,DEN,STAPLETON,Non-Fatal,Substantial,N7640U,Boeing,727-222,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,105.0,VMC,Takeoff,Probable Cause,30-08-1994,105.0,0.0,1.0,Denver,CO,west
8459,20001214X40096,Incident,NYC84IA192,1984-06-02,"FLUSHING, NY",United States,,JFK INT'L,Incident,Minor,N855TW,Boeing,727-31,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,66.0,VMC,Takeoff,Probable Cause,,66.0,0.0,1.0,Flushing,NY,northeast
8502,20001214X40097,Incident,NYC84IA200,1984-06-05,"PHILADELPHIA, PA",United States,,,Incident,,N8711E,Boeing,720-025,No,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,95.0,VMC,Takeoff,Probable Cause,,95.0,0.0,1.0,Philadelphia,PA,northeast
8556,20001214X39948,Accident,FTW84LA268,1984-06-09,"FRIENDSWOOD, TX",United States,7X50,POLLY RANCH,Non-Fatal,Substantial,N44WR,Boeing,A75N1,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,,2.0,0.0,1.0,Friendswood,TX,south
8579,20001214X39981,Incident,LAX84IA350,1984-06-11,"SAN FRANCISCO, CA",United States,,,Incident,Minor,N4712U,Boeing,747-122,No,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,4.0,VMC,Approach,Probable Cause,,4.0,0.0,1.0,San Francisco,CA,west
8722,20001214X39894,Incident,DCA84IA029,1984-06-23,"CHICAGO, IL",United States,ORD,O'HARE INTL,Incident,Minor,GSAIL,Boeing,707-323C,No,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,4.0,IMC,Approach,Probable Cause,,4.0,0.0,1.0,Chicago,IL,midwest
8782,20001214X40098,Incident,NYC84IA225,1984-06-27,"PORTLAND, ME",United States,PWM,PORTLAND,Incident,Minor,N417PE,Boeing,737-130,No,2.0,Turbo Fan,Unknown,0.0,0.0,2.0,121.0,VMC,Descent,Probable Cause,,123.0,0.0,0.983739837398374,Portland,ME,northeast
8866,20001214X40269,Incident,DEN84IA209,1984-07-03,"DENVER, CO",United States,DEN,STAPLETON INT'L,Incident,Minor,N1992,Boeing,727-23,No,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,75.0,VMC,Landing,Probable Cause,,75.0,0.0,1.0,Denver,CO,west
8948,20001214X40507,Incident,SEA84IA168,1984-07-09,"PORTLAND, OR",United States,,,Incident,,N9015U,Boeing,B-737-222,No,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,71.0,VMC,Climb,Probable Cause,,71.0,0.0,1.0,Portland,OR,west
9031,20001214X40261,Incident,DCA84IA030B,1984-07-16,"MARIETTA, GA",United States,,,Incident,,USAF,Boeing,KC-135A,No,4.0,Turbo Jet,Unknown,0.0,0.0,0.0,45.0,VMC,Cruise,Probable Cause,,45.0,0.0,1.0,Marietta,GA,south
9032,20001214X40261,Incident,DCA84IA030A,1984-07-16,"MARIETTA, GA",United States,,,Incident,,N8840E,Boeing,727-225,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,45.0,VMC,Cruise,Probable Cause,,45.0,0.0,1.0,Marietta,GA,south
9033,20001214X40226,Incident,CHI84IA301,1984-07-16,"CHICAGO, IL",United States,ORD,O'HARE,Incident,Minor,N464DA,Boeing,727-200,No,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,91.0,VMC,Takeoff,Probable Cause,,91.0,0.0,1.0,Chicago,IL,midwest
9118,20001214X40252,Accident,CHI84LA307A,1984-07-22,"HUNTLEY, IL",United States,C49,LANDINGS,Non-Fatal,Substantial,N55070,Boeing,A75N1,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,,4.0,0.0,1.0,Huntley,IL,midwest
9147,20001214X40227,Incident,CHI84IA314,1984-07-25,"MINNEAPOLIS, MN",United States,,,Incident,,N721RW,Boeing,727-2M7,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,127.0,VMC,Climb,Probable Cause,,127.0,0.0,1.0,Minneapolis,MN,midwest
9151,20001214X40332,Accident,FTW84LA323,1984-07-25,"WICHITA FALLS, TX",United States,,,Non-Fatal,Substantial,N49680,Boeing,A75N1,No,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,Climb,Probable Cause,,2.0,0.0,0.0,Wichita Falls,TX,south
9158,20001214X40470,Incident,NYC84IA271,1984-07-26,"BUFFALO, NY",United States,,,Incident,Minor,N518PE,Boeing,727-232,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,105.0,VMC,Approach,Probable Cause,,105.0,0.0,1.0,Buffalo,NY,northeast
9353,20001214X40567,Accident,ATL84FA252,1984-08-11,"CUMMING, GA",United States,,,Non-Fatal,Substantial,N1357N,Boeing,A75N1,No,1.0,Reciprocating,Unknown,0.0,0.0,2.0,0.0,VMC,Takeoff,Probable Cause,,2.0,0.0,0.0,Cumming,GA,south
9483,20001214X40807,Accident,MIA84LA235B,1984-08-22,"ORLANDO, FL",United States,,ORLANDO EXECUTIVE,Non-Fatal,Minor,N711RS,Boeing,A75N1,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Taxi,Probable Cause,,4.0,0.0,1.0,Orlando,FL,south
9581,20001214X40615,Incident,CHI84IA373,1984-08-29,"MADISON, WI",United States,MSN,MADISON,Incident,,N7351F,Boeing,737-291,No,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,108.0,VMC,Takeoff,Probable Cause,,108.0,0.0,1.0,Madison,WI,midwest
9598,20001214X40668,Accident,DEN84FA274,1984-08-30,"KALISPELL, MT",United States,,,Fatal(1),Substantial,N5183N,Boeing,STEARMAN E75,No,1.0,Reciprocating,Aerial Application,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,,1.0,1.0,0.0,Kalispell,MT,west
9652,20001214X40987,Incident,BFO84IA005A,1984-09-03,"WASHINGTON, DC",United States,DCA,NATIONAL,Incident,Minor,N7078U,Boeing,727-22,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,81.0,VMC,Standing,Probable Cause,,81.0,0.0,1.0,Washington,DC,northeast
9921,20001214X41228,Incident,SEA84IA233,1984-09-29,"SEATTLE, WA",United States,,,Incident,Minor,N613US,Boeing,747-200B,No,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,172.0,VMC,Climb,Probable Cause,,172.0,0.0,1.0,Seattle,WA,west
9936,20001214X41022,Incident,DCA84IA001A,1984-09-30,"AKRON, OH",United States,,,Incident,,USAF,Boeing,VC-137B-BN,No,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,47.0,IMC,Climb,Probable Cause,,47.0,0.0,1.0,Akron,OH,midwest
10078,20001214X41394,Incident,LAX85IA023,1984-10-17,"LAS VEGAS, NV",United States,,,Incident,,N722AA,Boeing,727-227,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,30.0,VMC,Climb,Probable Cause,,30.0,0.0,1.0,Las Vegas,NV,west
10085,20001214X41328,Incident,DCA85IA003A,1984-10-18,"SEATTLE, WA",United States,,,Incident,,USAF,Boeing,VC-137B-BN,No,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,50.0,VMC,Approach,Probable Cause,,50.0,0.0,1.0,Seattle,WA,west
10192,20001214X41599,Incident,LAX85IA037,1984-11-01,"LOS ANGELES, CA",United States,LAX,LOS ANGELES INTL,Incident,Minor,N93106,Boeing,747-131,No,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,365.0,VMC,Taxi,Probable Cause,,365.0,0.0,1.0,Los Angeles,CA,west
10224,20001214X41681,Accident,SEA85LA015,1984-11-05,"ELY, NV",United States,ELY,ELY,Non-Fatal,Substantial,N56234,Boeing,A75N1,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,,1.0,0.0,1.0,Ely,NV,west
10259,20001214X41507,Accident,ATL85LA032,1984-11-10,"RUSTBURGH, VA",United States,,GLICK AG STRIP,Non-Fatal,Substantial,N5506A,Boeing,75,No,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,,1.0,0.0,1.0,Rustburgh,VA,south
10301,20001214X41550,Accident,DCA85AA003,1984-11-16,"HONOLULU, HI",United States,HHL,HONOLULU INT'L,Non-Fatal,Substantial,N4714U,Boeing,747-122,No,4.0,Turbo Fan,Unknown,0.0,2.0,38.0,371.0,VMC,Takeoff,Probable Cause,,411.0,0.0,0.902676399026764,Honolulu,HI,west
10335,20001214X41492,Accident,ANC85LA020,1984-11-20,"FAIRBANKS, AK",United States,FAI,FAIRBANKS,Non-Fatal,Substantial,N39174,Embraer,EMB-110,No,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,,2.0,0.0,1.0,Fairbanks,AK,west
10417,20001214X41709,Incident,ATL85IA047,1984-12-04,"ATLANTA, GA",United States,,HARTSFIELD,Incident,Minor,N264US,Boeing,727-251,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,99.0,VMC,Cruise,Probable Cause,,99.0,0.0,1.0,Atlanta,GA,south
10424,20001214X41750,Accident,DCA85AA004,1984-12-06,"JACKSONVILLE, FL",United States,JAX,JACKSONVILLE INT'L,Fatal(13),Destroyed,N96PB,Embraer,EMB-110P1,No,2.0,Turbo Prop,Unknown,13.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,,13.0,1.0,0.0,Jacksonville,FL,south
10526,20001214X41728,Incident,BFO85IA056A,1984-12-20,"NEW ORLEANS, LA",United States,,,Incident,,DABYP,Boeing,747-200,No,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,365.0,VMC,Approach,Probable Cause,,365.0,0.0,1.0,New Orleans,LA,south
10706,20001214X35500,Incident,DEN85IA065,1985-01-17,"FLUSHING, NY",United States,LGA,LAGUARDIA,Incident,Minor,N79748,Boeing,727-224,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,86.0,IMC,Takeoff,Probable Cause,,86.0,0.0,1.0,Flushing,NY,northeast
10734,20001214X35501,Incident,DEN85IA068,1985-01-23,"STEAMBOAT SPRIN, CO",United States,,,Incident,,N7343F,Boeing,737-291,No,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,107.0,VMC,Descent,Probable Cause,,107.0,0.0,1.0,Steamboat Sprin,CO,west
10752,20001214X35478,Incident,CHI85IA097,1985-01-26,"ST. PAUL, MN",United States,MSP,MINNEAPOLIS/ST. PAUL ARPT,Incident,Minor,N463US,Boeing,727-51,No,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,61.0,IMC,Approach,Probable Cause,,61.0,0.0,1.0,St. Paul,MN,midwest
10910,20001214X35704,Accident,FTW85LA121,1985-02-19,"HOLMWOOD, LA",United States,,,Non-Fatal,Substantial,N60885,Boeing,A75N1,No,1.0,Reciprocating,Positioning,0.0,0.0,1.0,0.0,IMC,Cruise,Probable Cause,,1.0,0.0,0.0,Holmwood,LA,south
10913,20001214X35672,Accident,DCA85AA015,1985-02-19,"SAN FRANCISCO, CA",United States,,,Non-Fatal,Substantial,N4522V,Boeing,747 SP-09,No,4.0,Turbo Fan,Unknown,0.0,2.0,0.0,271.0,IMC,Cruise,Probable Cause,,273.0,0.0,0.9926739926739927,San Francisco,CA,west
11022,20001214X35956,Accident,LAX85LA168,1985-03-05,"BLYTHE, CA",United States,BLH,BLYTHE,Non-Fatal,Substantial,N844TH,Boeing,B75-N1,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,,1.0,0.0,1.0,Blythe,CA,west
11161,20001214X36035,Accident,NYC85LA085,1985-03-22,"MARSTON MILLS, MA",United States,,CAPE COD,Non-Fatal,Substantial,N3993P,Boeing,JB-75,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,,2.0,0.0,1.0,Marston Mills,MA,northeast
11179,20001214X35863,Incident,CHI85IA149,1985-03-24,"CHATTAN00GR, TN",United States,,,Incident,,N285AT,Boeing,727-100,No,3.0,Turbo Jet,Unknown,0.0,0.0,1.0,130.0,VMC,Cruise,Probable Cause,,131.0,0.0,0.9923664122137404,Chattan00Gr,TN,south
11313,20001214X36101,Incident,BFO85IA035,1985-04-12,"CHANTILLY, VA",United States,IAD,DULLES INTERNATIONAL,Incident,Minor,N434PE,Boeing,737-217,No,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,107.0,VMC,Taxi,Probable Cause,,107.0,0.0,1.0,Chantilly,VA,south
11347,20001214X36226,Incident,LAX85IA206,1985-04-16,"LAS CRUCES, NM",United States,LRU,LAS CRUCES,Incident,Minor,N718AA,Boeing,727-227,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,89.0,VMC,Cruise,Probable Cause,,89.0,0.0,1.0,Las Cruces,NM,west
11348,20001214X36102,Incident,BFO85IA036,1985-04-16,"WASHINGTON, DC",United States,DCA,WASHINGON NATIONAL,Incident,Minor,N400DL,Boeing,727-200,No,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,129.0,VMC,Landing,Probable Cause,,129.0,0.0,1.0,Washington,DC,northeast
11433,20001214X36115,Accident,CHI85FA174,1985-04-23,"LITTLE ROCK, AR",United States,,,Non-Fatal,,N856AA,Boeing,727-223,No,3.0,Turbo Jet,Unknown,0.0,1.0,1.0,3.0,UNK,Cruise,Probable Cause,,5.0,0.0,0.6,Little Rock,AR,south
11445,20001214X36146,Incident,DCA85IA019,1985-04-25,"DETROIT, MI",United States,,,Incident,,N9663,Boeing,747-123,No,4.0,Turbo Fan,Unknown,0.0,0.0,42.0,439.0,VMC,Standing,Probable Cause,,481.0,0.0,0.9126819126819127,Detroit,MI,midwest
11474,20001214X36164,Accident,DEN85LA121,1985-04-27,"AURORA, CO",United States,,FRONT RANGE,Non-Fatal,Substantial,N555JW,Boeing,PT 17,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,,2.0,0.0,1.0,Aurora,CO,west
11489,20001214X36171,Accident,FTW85FA202,1985-04-28,"AMARILLO, TX",United States,AMA,AMARILLO INTL,Non-Fatal,Substantial,N300SW,Boeing,737-300,No,2.0,Turbo Fan,,0.0,0.0,1.0,132.0,IMC,Landing,Probable Cause,,133.0,0.0,0.9924812030075187,Amarillo,TX,south
